District,Building name,Last date of residence of the (s),Related probable/confirmed s,Number of cases
Shatin,"Tower 1, Lake Silver",23/1/2020," 4, 5",2
Kwai Tsing,"Hong Mei House, Cheung Hong Estate",24/1/2020,12,1
Tuen Mun,South Hillcrest,24/1/2020," 3,8",2
Eastern,Universal Towers,25/1/2020,6,1
Sai Kung,"Tower 2, Tseung Kwan O Plaza",26/1/2020,Non local ,1
Central,Four Seasons Hotel,28/1/2020," 9,10,11",3
Yau Tsim Mong,W Hong Kong,28/1/2020," 9,10,11",3
Yau Tsim Mong,Prudential Centre,29/1/2020,16,1
Kwai Ching,"Luk Kwai House, Kwai Chung Estate",30/1/2020,14,1
Yau Tsim Mong,"Tower 2, The Coronation",30/1/2020," 9,10,11",3
Kowloon City,"15 Celestial Heights, 80 Sheung Shing Street",1/2/2020,16,1
Yau Tsim Mong,"58 Nathan Road, Mirador Mansion",1/2/2020,Non local ,1
Kowloon City,"Block 1, Site 11, Whampoa Garden",1/2/2020," 13,15",2
Kwai Tsing,"Tower 1, Kowloon Commerce Centre",1/2/2020,18,1
Kowloon City,183 Ma Tau Wai Road,3/2/2020,18,1
Yau Tsim Mong,"Tower 2, Silvercord",4/2/2020,19,1
Kwun Tong,"Yue Hong House, Hong Tin Court",4/2/2020," 17, 19, 20",3
Kwai Tsing,"Block 1, Villa Esplanada",5/2/2020," 21,22",2
Eastern ,"Ko Mong building, 142 - 146 Shau Kei Wan Road",5/2/2020,23,1
Shatin,"Sui Shek House, Shek Mun Estate Phase II",5/2/2020,24,1
Kowloon City,"Hospital Authority Building, 147B Argyle Street (non-residential)",6/2/2020," 57, 59",2
North ,"Serenity Garden, Hang Tau",6/2/2020,25,1
Sha Tin,"Tower 10, The Palazzo",6/2/2020,26,1
Tuen Mun,"Hanford Plaza, 333 Castle Peak Road (non-residential)",7/2/2020,66,1
Wong Tai Sin,Choi Fung Court,8/2/2020,28,1
Wan Chai,"Hung Fook Mansion, 356-362 Lockhart Road",8/2/2020," 27, 29, 30, 31",4
Wan Chai,"Lai Chi building, 42-56 Leighton Road ",8/2/2020," 32,34,35,41",4
Eastern,"Maylun Apartments, 1-25 Shu Kuk Street",8/2/2020," 65, 70",2
Wan Chai,"Central Tower, 89 Lockhart Road",9/2/2020," 33, 36",2
Eastern ,"Cheung Hing Building, 110 Sai Wan Ho Street ",9/2/2020," 38, 39, 40",3
Wan Chai,"Chung Wui Mansion, 110 Wan Chai Road",9/2/2020," 33, 36",2
Eastern,"Fu Yan Court, 23 Sai Wan Ho Street (non-residential)",9/2/2020," 57, 60",2
Kwai Tsing,"Hong Mei House, Cheung Hong Estate",9/2/2020," 12, 42, 48, 49",4
Yau Tsim Mong,MOKO,9/2/2020," 37,50",2
Shatin,"Tai Wo House, Wo Che Estate ",9/2/2020,37,1
Eastern,"Block 3, Island Resort",10/2/2020,43,1
Kwun Tong,Domain(non-residential),10/2/2020,67,1
Wan Chai ,Kwan Chart Tower,10/2/2020," 30, 44",2
Tuen Mun,Leung Tin Village ,10/2/2020,47,1
Kwai Tsing,"On Tao House, Cheung On Estate ",10/2/2020,50,1
Eastern,"Po Shan Mansion, Tai Koo Shing (Non residential building)",10/2/2020,60,1
Sai Kung ,"Po Yan House, Po Lam Estate",10/2/2020,45,1
Southern ,"Tin Chak House, Tin Wan Estate",10/2/2020,46,1
Southern,"Tung Ping House, Lei Tung Estate",10/2/2020,44,1
Eastern,"633 King's Road, North Point(non-residential)",11/2/2020," 57, 59",2
Eastern ,"Block D, Mount Parker Lodge, 10 Hong Pak Path",12/2/2020,52,1
Wan Chai,"Heung Hoi Mansion, 28-32 O'Brien Road",12/2/2020," 52, 53",2
Eastern,"Mount Parker Lodge, 10 Hong Pak Path",12/2/2020,52,1
Kwai Tsing,"Shek Yi House, Shek Lei (II) Estate",12/2/2020,55,1
Tuen Mun,Tze Tin Tsuen,12/2/2020,51,1
Central and Western ,233 Wing Lok Street ,13/2/2020,56,1
Wong Tai Sin,"42 Yuk Wah Street, Tsz Wan Shan (Non residential building)",13/2/2020,59,1
Eastern,Goldfield Mansion (Non residential building),13/2/2020,74,1
Kwun Tong,Kai Tin Shopping Centre (Non residential building),13/2/2020,72,1
Kwun Tong,"Lok Wah Shopping Centre, Lok Wah North Estate (Non residential building)",13/2/2020,62,1
Southern ,Tai Long Wan Village ,13/2/2020,54,1
Eastern,"Workingberg Commercial Building, Marble Road  (Non residential building)",13/2/2020,85,1
