Year,,,2006,2006,2011,2011,2016,2016
Land/ Marine,Region - Hong Kong Island/ Kowloon/ New Territories/ Marine,District Council District - 18 Districts and Marine,Population (Number of Persons),Population (Percentage),Population (Number of Persons),Population (Percentage),Population (Number of Persons),Population (Percentage)
Land,Hong Kong Island,Central and Western,250064,3.6,251519,3.6,243266,3.3
Land,Hong Kong Island,Wan Chai[1],155196,2.3,152608,2.2,180123,2.5
Land,Hong Kong Island,Eastern[1],587690,8.6,588094,8.3,555034,7.6
Land,Hong Kong Island,Southern,275162,4,278655,3.9,274994,3.7
Land,Hong Kong Island,Sub-total,1268112,18.5,1270876,18,1253417,17.1
Land,Kowloon,Yau Tsim Mong,280548,4.1,307878,4.4,342970,4.7
Land,Kowloon,Sham Shui Po,365540,5.3,380855,5.4,405869,5.5
Land,Kowloon,Kowloon City,362501,5.3,377351,5.3,418732,5.7
Land,Kowloon,Wong Tai Sin,423521,6.2,420183,5.9,425235,5.8
Land,Kowloon,Kwun Tong,587423,8.6,622152,8.8,648541,8.8
Land,Kowloon,Sub-total,2019533,29.4,2108419,29.8,2241347,30.6
Land,New Territories,Kwai Tsing,523300,7.6,511167,7.2,520572,7.1
Land,New Territories,Tsuen Wan,288728,4.2,304637,4.3,318916,4.3
Land,New Territories,Tuen Mun,502035,7.3,487546,6.9,489299,6.7
Land,New Territories,Yuen Long,534192,7.8,578529,8.2,614178,8.4
Land,New Territories,North,280730,4.1,304134,4.3,315270,4.3
Land,New Territories,Tai Po,293542,4.3,296853,4.2,303926,4.1
Land,New Territories,Sha Tin,607544,8.9,630273,8.9,659794,9
Land,New Territories,Sai Kung,406442,5.9,436627,6.2,461864,6.3
Land,New Territories,Islands,137122,2,141327,2,156801,2.1
Land,New Territories,Sub-total,3573635,52.1,3691093,52.2,3840620,52.3
Marine,Marine,Marine,3066,0,1188,0,1201,0
Marine,Marine,Sub-total,3066,0,1188,0,1201,0
Total,,,6864346,100,7071576,100,7336585,100
