District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Shatin,Alva Hotel by Royal,20/1/2020,
Shatin,"Tower 1A, Oceanaire",21/1/2020,
Shatin,"Tower 1, Lake Silver",23/1/2020,"Case 4,5"
Shatin,"Tower 1, Lake Silver",23/1/2020,
Shatin ,"Tower 1, Lake Silver",23/1/2020,
Tuen Mun,South Hillcrest,24/1/2020,"Case 3,8"
Kwai Tsing,"Hong Mei House, Cheung Hong Estate",24/1/2020,Case 12
Tuen Mun,South Hillcrest,24/1/2020,
Kwai Tsing,"Hong Mei House, Cheung Hong Estate",24/1/2020,
Eastern,Universal Towers,25/1/2020,Case 6
Eastern,Universal Towers,25/1/2020,
Sai Kung,"Tower 2, Tseung Kwan O Plaza",26/1/2020,Non local case
Sai Kung,"Tower 2, Tseung Kwan O Plaza",26/1/2020,
Sai Kung,"Tseung Kwan O Plaza, Tower 2",26/1/2020,
Yau Tsim Mong,W Hong Kong,28/1/2020,"Case 9,10,11"
Central,Four Seasons Hotel,28/1/2020,"Case 9,10,11"
Yau Tsim Mong,W Hong Kong,28/1/2020,
Central,Four Seasons Hotel,28/1/2020,
Central ,Four Seasons Hotel ,28/1/2020,
Yau Tsim Mong,Prudential Centre,29/1/2020,Case 16
Yau Tsim Mong,Prudential Centre,29/1/2020,
Yau Tsim Mong,"Tower 2, The Coronation",30/1/2020,"Case 9,10,11"
Kwai Ching,"Luk Kwai House, Kwai Chung Estate",30/1/2020,Case 14
Yau Tsim Mong,"Tower 2, The Coronation",30/1/2020,
Kwai Ching,"Luk Kwai House, Kwai Chung Estate",30/1/2020,
Kwai Tsing,"Luk Kwai House, Kwai Chung Estate",30/1/2020,
Kwun Tong,"Yue Hong House, Hong Tin Court",31/1/2020,
Kowloon City,"Block 1, Site 11, Whampoa Garden",31/1/2020,
Kowloon City,"Block 1, Site 11, Whampoa Garden",1/2/2020,"Case 13,15"
Yau Tsim Mong,"58 Nathan Road, Mirador Mansion",1/2/2020,Non local case
