As of date,As of time,Quarantine centres,Address,Capacity (unit),Current unit in use,Current person in use,Ready to be used (unit)
24/04/2020,9:00,Jao Tsung-I Academy Heritage Lodge,"800 Castle Peak Road, Kowloon",53,5,8,
24/04/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",85,2,5,
24/04/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1454,36,46,
24/04/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,0,0,
25/04/2020,9:00,Jao Tsung-I Academy Heritage Lodge,"800 Castle Peak Road, Kowloon",53,5,8,
25/04/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",85,2,5,
25/04/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1454,44,52,
25/04/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,0,0,
26/04/2020,9:00,Jao Tsung-I Academy Heritage Lodge,"800 Castle Peak Road, Kowloon",53,5,8,
26/04/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",85,1,3,
26/04/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1398,46,50,
26/04/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,0,0,
27/04/2020,9:00,Jao Tsung-I Academy Heritage Lodge,"800 Castle Peak Road, Kowloon",53,5,8,
27/04/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",85,0,0,
27/04/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1398,45,50,
27/04/2020,9:00,Chai Wan Lei Yue Mun Park and Holiday Village,"75 Chai Wan Road, Hong Kong",145,0,0,
28/04/2020,9:00,Jao Tsung-I Academy Heritage Lodge,"800 Castle Peak Road, Kowloon",53,5,8,
28/04/2020,9:00,JPC Permanent Activity Centre and Integrated Youth Training Camp,"No. 123 Fam Kam Road, Pat Heung, Yuen Long",85,0,0,
28/04/2020,9:00,Chun Yeung Estate,"Wong Chuk Yeung Street, Fo Tan",1398,39,43,
