City_EN,FID,Field_1,GbCity,GbProv,Prov_EN,N_C_01,N_C_02,N_C_03,N_C_04,N_C_05,N_C_06,N_C_07,N_C_08,N_C_09,T_C_01,T_C_02,T_C_03,T_C_04,T_C_05,T_C_06,T_C_07,T_C_08,T_C_09
Beijing,0,24,1100,11,Beijing,156,257,167,13,0,326,14,2,1,156,413,580,593,593,919,933,935,936
Tianjin,1,245,1200,12,Tianjin,32,104,38,16,2,6,7,24,11,32,136,174,190,192,198,205,229,240
Shijiazhuang,2,228,1301,13,Hebei,12,17,0,0,0,0,0,0,0,12,29,29,29,29,29,29,29,29
Tangshan,3,244,1302,13,Hebei,8,50,0,0,0,0,0,0,0,8,58,58,58,58,58,58,58,58
Qinhuangdao,4,201,1303,13,Hebei,1,9,0,0,0,0,0,0,0,1,10,10,10,10,10,10,10,10
Handan,5,86,1304,13,Hebei,10,22,0,0,0,0,0,0,0,10,32,32,32,32,32,32,32,32
Xingtai,6,282,1305,13,Hebei,10,13,0,0,0,0,0,0,0,10,23,23,23,23,23,23,23,23
Baoding,7,21,1306,13,Hebei,11,21,0,0,0,2,0,0,0,11,32,32,32,32,34,34,34,34
Zhangjiakou,8,318,1307,13,Hebei,8,33,0,0,0,2,0,0,0,8,41,41,41,41,43,43,43,43
Chengde,9,40,1308,13,Hebei,2,5,0,0,0,0,0,0,0,2,7,7,7,7,7,7,7,7
Cangzhou,10,30,1309,13,Hebei,19,29,0,0,0,1,0,0,0,19,48,48,48,48,49,49,49,49
Langfang,11,143,1310,13,Hebei,11,19,0,0,0,2,0,0,0,11,30,30,30,30,32,32,32,32
Hengshui,12,98,1311,13,Hebei,4,4,0,0,0,0,0,0,0,4,8,8,8,8,8,8,8,8
Taiyuan,13,241,1401,14,Shanxi,4,16,0,0,1,0,0,0,0,4,20,20,20,21,21,21,21,21
Datong,14,49,1402,14,Shanxi,6,6,0,0,0,0,0,0,0,6,12,12,12,12,12,12,12,12
Yangquan,15,296,1403,14,Shanxi,1,3,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,4
Changzhi,16,323,1404,14,Shanxi,3,5,0,0,0,0,0,0,0,3,8,8,8,8,8,8,8,8
Jincheng,17,128,1405,14,Shanxi,2,8,0,0,0,0,0,0,0,2,10,10,10,10,10,10,10,10
Shuozhou,18,231,1406,14,Shanxi,3,5,0,0,0,0,0,0,0,3,8,8,8,8,8,8,8,8
Jinzhong,19,129,1407,14,Shanxi,11,26,0,0,0,0,0,0,0,11,37,37,37,37,37,37,37,37
