City_EN,FID,Field_1,GbCity,GbProv,Prov_EN,N_H_01,N_H_02,N_H_03,N_H_04,N_H_05,N_H_06,N_H_07,N_H_08,N_H_09,T_H_01,T_H_02,T_H_03,T_H_04,T_H_05,T_H_06,T_H_07,T_H_08,T_H_09
Beijing,0,24,1100,11,Beijing,5,271,142,124,39,6,324,15,0,5,276,418,542,581,587,911,926,926
Tianjin,1,245,1200,12,Tianjin,0,109,26,49,4,6,1,18,20,0,109,135,184,188,194,195,213,233
Shijiazhuang,2,228,1301,13,Hebei,0,27,2,0,0,0,0,0,0,0,27,29,29,29,29,29,29,29
Tangshan,3,244,1302,13,Hebei,0,42,13,2,0,0,0,0,0,0,42,55,57,57,57,57,57,57
Qinhuangdao,4,201,1303,13,Hebei,0,9,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9
Handan,5,86,1304,13,Hebei,0,31,1,0,0,0,0,0,0,0,31,32,32,32,32,32,32,32
Xingtai,6,282,1305,13,Hebei,0,22,0,0,0,0,0,0,0,0,22,22,22,22,22,22,22,22
Baoding,7,21,1306,13,Hebei,0,32,0,0,0,0,2,0,0,0,32,32,32,32,32,34,34,34
Zhangjiakou,8,318,1307,13,Hebei,0,33,8,0,0,0,2,0,0,0,33,41,41,41,41,43,43,43
Chengde,9,40,1308,13,Hebei,0,7,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7
Cangzhou,10,30,1309,13,Hebei,0,41,4,0,0,0,1,0,0,0,41,45,45,45,45,46,46,46
Langfang,11,143,1310,13,Hebei,0,30,0,0,0,0,2,0,0,0,30,30,30,30,30,32,32,32
Hengshui,12,98,1311,13,Hebei,0,8,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8
Taiyuan,13,241,1401,14,Shanxi,1,18,1,0,1,0,0,0,0,1,19,20,20,21,21,21,21,21
Datong,14,49,1402,14,Shanxi,0,8,4,0,0,0,0,0,0,0,8,12,12,12,12,12,12,12
Yangquan,15,296,1403,14,Shanxi,0,4,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4
Changzhi,16,323,1404,14,Shanxi,0,7,1,0,0,0,0,0,0,0,7,8,8,8,8,8,8,8
Jincheng,17,128,1405,14,Shanxi,0,8,2,0,0,0,0,0,0,0,8,10,10,10,10,10,10,10
