FID,Field_1,GbProv,ProvCH,ProvEN,N_C_0302,N_C_0303,N_C_0304,N_C_0305,N_C_0306,N_C_0307,N_C_0308,N_C_0309,N_C_0310,N_C_0311,N_C_0312,N_C_0313,N_C_0314,N_C_0315,N_C_0316,N_C_0317,N_C_0318,N_C_0319,N_C_0320,N_C_0321,N_C_0322,N_C_0323,N_C_0324,N_C_0325,N_C_0326,N_C_0327,N_C_0328,N_C_0329,N_C_0330,N_C_0331,N_C_0401,N_C_0402,N_C_0403,N_C_0404,N_C_0405,N_C_0406,N_C_0407,N_C_0408,N_C_0409,N_C_0410,N_C_0411,N_C_0412,N_C_0413,N_C_0414,N_C_0415,N_C_0416,N_C_0417,N_C_0418,N_C_0419,N_C_0420,N_C_0421,N_C_0422,N_C_0423,N_C_0424,N_C_0425,N_C_0426,N_C_0427,N_C_0428,N_C_0429,N_C_0430,N_C_0501,N_C_0502,N_C_0503,N_C_0504,N_C_0505,N_C_0506,N_C_0507,N_C_0508,N_C_0509,N_C_0510,N_C_0511,N_C_0512,N_C_0513,N_C_0514,N_C_0515,N_C_0516,N_C_0517,N_C_0518,N_C_0519,N_C_0520,N_C_0521,N_C_0522,N_C_0523,N_C_0524,N_C_0525,N_C_0526,N_C_0527,N_C_0528,N_C_0529,N_C_0530,N_C_0531,N_C_0601,N_C_0602,N_C_0603,N_C_0604,N_C_0605,N_C_0606,N_C_0607,N_C_0608,N_C_0609,N_C_0610,N_C_0611,N_C_0612,N_C_0613,N_C_0614,N_C_0615,N_C_0616,N_C_0617,N_C_0618,N_C_0619,N_C_0620,N_C_0621,N_C_0622,N_C_0623,N_C_0624,N_C_0625,N_C_0626,N_C_0627,N_C_0628,N_C_0629,N_C_0630,N_C_0701,N_C_0702,N_C_0703,N_C_0704,N_C_0705,N_C_0706,N_C_0707,N_C_0708,N_C_0709,N_C_0710,N_C_0711,N_C_0712,N_C_0713,N_C_0714,N_C_0715,N_C_0716,N_C_0717,N_C_0718,N_C_0719,N_C_0720,N_C_0721,N_C_0722,N_C_0723,N_C_0724,N_C_0725,N_C_0726,N_C_0727,N_C_0728,N_C_0729,N_C_0730,N_C_0731,N_C_0801,N_C_0802,N_C_0803,N_C_0804,N_C_0805,N_C_0806,N_C_0807,N_C_0808,N_C_0809,N_C_0810,N_C_0811,N_C_0812,N_C_0813,N_C_0814,N_C_0815,N_C_0816,N_C_0817,N_C_0818,N_C_0819,N_C_0820,N_C_0821,N_C_0822,N_C_0823,N_C_0824,N_C_0825,N_C_0826,N_C_0827,N_C_0828,N_C_0829,N_C_0830,N_C_0831,N_C_0901,N_C_0902,N_C_0903,N_C_0904,N_C_0905,N_C_0906,N_C_0907,N_C_0908,N_C_0909,N_C_0910,N_C_0911,N_C_0912,N_C_0913,N_C_0914,N_C_0915,N_C_0916,N_C_0917,N_C_0918,N_C_0919,N_C_0920,N_C_0921,N_C_0922,N_C_0923,N_C_0924,N_C_0925,N_C_0926,N_C_0927,N_C_0928,N_C_0929,N_C_0930,N_C_1001,N_C_1002,N_C_1003,N_C_1004,N_C_1005,N_C_1006,N_C_1007,N_C_1008,N_C_1009,N_C_1010,T_C_0301,T_C_0302,T_C_0303,T_C_0304,T_C_0305,T_C_0306,T_C_0307,T_C_0308,T_C_0309,T_C_0310,T_C_0311,T_C_0312,T_C_0313,T_C_0314,T_C_0315,T_C_0316,T_C_0317,T_C_0318,T_C_0319,T_C_0320,T_C_0321,T_C_0322,T_C_0323,T_C_0324,T_C_0325,T_C_0326,T_C_0327,T_C_0328,T_C_0329,T_C_0330,T_C_0331,T_C_0401,T_C_0402,T_C_0403,T_C_0404,T_C_0405,T_C_0406,T_C_0407,T_C_0408,T_C_0409,T_C_0410,T_C_0411,T_C_0412,T_C_0413,T_C_0414,T_C_0415,T_C_0416,T_C_0417,T_C_0418,T_C_0419,T_C_0420,T_C_0421,T_C_0422,T_C_0423,T_C_0424,T_C_0425,T_C_0426,T_C_0427,T_C_0428,T_C_0429,T_C_0430,T_C_0501,T_C_0502,T_C_0503,T_C_0504,T_C_0505,T_C_0506,T_C_0507,T_C_0508,T_C_0509,T_C_0510,T_C_0511,T_C_0512,T_C_0513,T_C_0514,T_C_0515,T_C_0516,T_C_0517,T_C_0518,T_C_0519,T_C_0520,T_C_0521,T_C_0522,T_C_0523,T_C_0524,T_C_0525,T_C_0526,T_C_0527,T_C_0528,T_C_0529,T_C_0530,T_C_0531,T_C_0601,T_C_0602,T_C_0603,T_C_0604,T_C_0605,T_C_0606,T_C_0607,T_C_0608,T_C_0609,T_C_0610,T_C_0611,T_C_0612,T_C_0613,T_C_0614,T_C_0615,T_C_0616,T_C_0617,T_C_0618,T_C_0619,T_C_0620,T_C_0621,T_C_0622,T_C_0623,T_C_0624,T_C_0625,T_C_0626,T_C_0627,T_C_0628,T_C_0629,T_C_0630,T_C_0701,T_C_0702,T_C_0703,T_C_0704,T_C_0705,T_C_0706,T_C_0707,T_C_0708,T_C_0709,T_C_0710,T_C_0711,T_C_0712,T_C_0713,T_C_0714,T_C_0715,T_C_0716,T_C_0717,T_C_0718,T_C_0719,T_C_0720,T_C_0721,T_C_0722,T_C_0723,T_C_0724,T_C_0725,T_C_0726,T_C_0727,T_C_0728,T_C_0729,T_C_0730,T_C_0731,T_C_0801,T_C_0802,T_C_0803,T_C_0804,T_C_0805,T_C_0806,T_C_0807,T_C_0808,T_C_0809,T_C_0810,T_C_0811,T_C_0812,T_C_0813,T_C_0814,T_C_0815,T_C_0816,T_C_0817,T_C_0818,T_C_0819,T_C_0820,T_C_0821,T_C_0822,T_C_0823,T_C_0824,T_C_0825,T_C_0826,T_C_0827,T_C_0828,T_C_0829,T_C_0830,T_C_0831,T_C_0901,T_C_0902,T_C_0903,T_C_0904,T_C_0905,T_C_0906,T_C_0907,T_C_0908,T_C_0909,T_C_0910,T_C_0911,T_C_0912,T_C_0913,T_C_0914,T_C_0915,T_C_0916,T_C_0917,T_C_0918,T_C_0919,T_C_0920,T_C_0921,T_C_0922,T_C_0923,T_C_0924,T_C_0925,T_C_0926,T_C_0927,T_C_0928,T_C_0929,T_C_0930,T_C_1001,T_C_1002,T_C_1003,T_C_1004,T_C_1005,T_C_1006,T_C_1007,T_C_1008,T_C_1009,T_C_1010
0,2,11,北京市,Beijing,0,0,2,0,4,3,2,0,1,6,0,1,1,5,10,4,13,11,11,13,10,23,20,3,5,3,4,4,0,3,0,2,1,2,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-176,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,8,11,13,13,14,20,20,21,22,27,37,41,54,65,76,89,99,122,142,145,150,153,157,161,161,164,164,166,167,169,170,171,171,172,172,172,173,173,173,173,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,175,175,175,175,175,175,175,175,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,0,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177
1,26,12,天津市,Tianjin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,2,4,5,6,4,8,0,2,1,3,0,0,0,0,1,1,1,0,1,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,7,0,0,2,0,2,0,0,0,1,4,4,0,0,1,1,0,0,2,-96,96,0,0,1,0,0,0,0,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,9,11,15,20,26,30,38,38,40,41,44,44,44,44,44,45,46,47,47,48,48,49,49,49,53,53,53,53,53,53,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,55,55,55,55,55,55,55,55,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,57,57,57,58,58,59,59,60,60,60,60,60,60,60,60,60,61,61,61,61,61,61,61,61,61,61,61,61,62,62,62,62,62,62,62,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,67,67,67,67,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,70,70,72,72,72,79,79,79,81,81,83,83,83,83,84,88,92,92,92,93,94,94,94,96,0,96,96,96,97,97,97,97,97,100,100,100,100,101,102,102,102,103,103,103,103,103,103,103,103,104,104,105,105,105,105,107,107
2,9,13,河北省,Hebei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,5,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,-26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,5,7,8,8,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,12,12,12,12,12,12,12,12,12,15,20,20,21,21,23,23,23,23,23,26,26,26,26,26,26,26,0,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
3,22,14,山西省,Shanxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,25,3,2,4,0,1,0,13,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,3,4,4,4,4,5,5,5,30,33,35,39,39,40,40,53,61,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,65,65,66,66,66,66,66,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,68,68,68,68,68,68,68,69,69,69,69,69,69,69,69,0,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,70,70,70,70,70,70,70,71,71,72,72,72,72,72
4,18,15,内蒙古,Neimenggu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,3,2,1,2,10,4,6,0,0,0,1,3,3,2,2,27,34,1,0,0,3,0,0,0,0,0,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,4,3,1,0,0,0,0,10,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-184,184,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,17,19,20,22,32,36,42,42,42,42,43,46,49,51,53,80,114,115,115,115,118,118,118,118,118,118,118,118,118,121,122,122,123,123,124,124,124,124,124,124,124,124,124,124,124,131,132,132,132,132,132,132,136,139,140,140,140,140,140,150,155,155,155,155,155,155,158,158,158,158,158,158,158,158,158,160,160,160,160,160,160,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,162,162,163,167,167,168,168,168,172,172,172,172,172,172,172,173,173,173,173,173,174,179,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,182,182,182,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,184,184,184,184,184,184,184,0,184,184,184,184,184,184,184,184,184,184,184,186,186,186,186,186,186,186,189,189,189,189,189,189,189,191,191,191,191,191,191,191
5,17,21,辽宁省,Liaoning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4,2,2,3,1,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-39,39,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,7,9,11,14,15,15,15,15,16,16,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,23,23,23,23,23,23,24,24,24,24,24,25,25,25,26,28,28,31,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,34,34,34,35,35,35,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,38,38,38,38,38,38,38,38,39,39,39,39,39,39,0,39,40,40,40,40,40,40,40,40,40,41,41,41,41,43,43,43,47,47,47,47,47,47,47,47,47,47,47,47,49,51,52
6,14,22,吉林省,Jilin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,2,0,2,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,9,9,9,9,11,11,13,13,14,15,16,16,17,17,17,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
7,11,23,黑龙江省,Heilongjiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,13,20,20,25,40,28,22,21,49,79,14,16,8,13,0,4,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-387,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,6,7,9,22,42,62,87,127,155,177,198,247,326,340,356,364,377,377,381,383,384,385,385,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,0,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387
8,24,31,上海市,Shanghai,0,0,0,1,3,0,0,0,2,0,0,2,6,1,2,3,3,2,8,9,14,10,9,19,18,17,17,7,6,11,7,6,4,3,2,5,2,5,9,3,0,52,11,0,4,6,0,0,7,3,0,1,1,1,0,1,0,2,1,2,5,0,1,2,1,0,1,0,0,2,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,4,0,0,1,0,0,6,5,1,1,1,3,0,2,0,1,0,3,0,2,0,2,1,1,1,-366,0,370,-370,0,0,0,375,0,-375,0,0,0,1,3,3,1,1,0,0,0,2,2,1,1,2,0,0,2,1,0,0,4,1,0,1,2,5,7,2,2,18,8,4,2,16,4,5,3,14,8,1,11,13,0,5,2,4,2,3,3,3,6,1,4,0,5,3,2,4,-580,587,8,2,3,5,1,2,4,12,2,4,2,1,0,2,4,0,0,11,5,2,7,1,4,1,10,2,1,5,6,2,10,0,0,0,0,1,4,4,4,4,6,6,6,8,14,15,17,20,23,25,33,42,56,66,75,94,112,129,146,153,159,170,177,183,187,190,192,197,199,204,213,216,216,268,279,279,283,289,289,289,296,299,299,300,301,302,302,303,303,305,306,308,313,313,314,316,317,317,318,318,318,320,320,320,321,321,321,326,326,326,326,326,326,326,326,327,327,328,329,330,330,331,331,331,332,332,332,336,336,336,337,337,337,343,348,349,350,351,354,354,356,356,357,357,360,360,362,362,364,365,366,367,1,1,371,1,1,1,1,376,376,1,1,1,1,383,386,389,390,391,391,391,391,393,395,396,397,399,399,399,401,402,402,402,406,407,407,408,410,415,422,424,426,444,452,456,458,474,478,483,486,500,508,509,520,533,533,538,540,544,546,549,552,555,561,562,566,566,571,574,576,580,0,587,595,597,600,605,606,608,612,624,626,630,632,633,633,635,639,639,639,650,655,657,664,665,669,670,680,682,683,688,694,696,706
9,15,32,江苏省,Jiangsu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,1,0,3,1,1,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,7,9,10,10,13,14,15,15,16,20,20,20,20,20,20,20,20,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,27,27,27,27,28,28,28,28,28,28,28,28,30,30,30,33,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,0,34,34,34,34,34,34,34,34,34,34,34,34,34,34,35,35,35,35,35,35,35,35,35,35,35,36,36,36,36,36,36,36
