FID,Field_1,GbProv,ProvCH,ProvEN,N_H_0302,N_H_0303,N_H_0304,N_H_0305,N_H_0306,N_H_0307,N_H_0308,N_H_0309,N_H_0310,N_H_0311,N_H_0312,N_H_0313,N_H_0314,N_H_0315,N_H_0316,N_H_0317,N_H_0318,N_H_0319,N_H_0320,N_H_0321,N_H_0322,N_H_0323,N_H_0324,N_H_0325,N_H_0326,N_H_0327,N_H_0328,N_H_0329,N_H_0330,N_H_0331,N_H_0401,N_H_0402,N_H_0403,N_H_0404,N_H_0405,N_H_0406,N_H_0407,N_H_0408,N_H_0409,N_H_0410,N_H_0411,N_H_0412,N_H_0413,N_H_0414,N_H_0415,N_H_0416,N_H_0417,N_H_0418,N_H_0419,N_H_0420,N_H_0421,N_H_0422,N_H_0423,N_H_0424,N_H_0425,N_H_0426,N_H_0427,N_H_0428,N_H_0429,N_H_0430,N_H_0501,N_H_0502,N_H_0503,N_H_0504,N_H_0505,N_H_0506,N_H_0507,N_H_0508,N_H_0509,N_H_0510,N_H_0511,N_H_0512,N_H_0513,N_H_0514,N_H_0515,N_H_0516,N_H_0517,N_H_0518,N_H_0519,N_H_0520,N_H_0521,N_H_0522,N_H_0523,N_H_0524,N_H_0525,N_H_0526,N_H_0527,N_H_0528,N_H_0529,N_H_0530,N_H_0531,N_H_0601,N_H_0602,N_H_0603,N_H_0604,N_H_0605,N_H_0606,N_H_0607,N_H_0608,N_H_0609,N_H_0610,N_H_0611,N_H_0612,N_H_0613,N_H_0614,N_H_0615,N_H_0616,N_H_0617,N_H_0618,N_H_0619,N_H_0620,N_H_0621,N_H_0622,N_H_0623,N_H_0624,N_H_0625,N_H_0626,N_H_0627,N_H_0628,N_H_0629,N_H_0630,N_H_0701,N_H_0702,N_H_0703,N_H_0704,N_H_0705,N_H_0706,N_H_0707,N_H_0708,N_H_0709,N_H_0710,N_H_0711,N_H_0712,N_H_0713,N_H_0714,N_H_0715,N_H_0716,N_H_0717,N_H_0718,N_H_0719,N_H_0720,N_H_0721,N_H_0722,N_H_0723,N_H_0724,N_H_0725,N_H_0726,N_H_0727,N_H_0728,N_H_0729,N_H_0730,N_H_0731,N_H_0801,N_H_0802,N_H_0803,N_H_0804,N_H_0805,N_H_0806,N_H_0807,N_H_0808,N_H_0809,N_H_0810,N_H_0811,N_H_0812,N_H_0813,N_H_0814,N_H_0815,N_H_0816,N_H_0817,N_H_0818,N_H_0819,N_H_0820,N_H_0821,N_H_0822,N_H_0823,N_H_0824,N_H_0825,N_H_0826,N_H_0827,N_H_0828,N_H_0829,N_H_0830,N_H_0831,N_H_0901,N_H_0902,N_H_0903,N_H_0904,N_H_0905,N_H_0906,N_H_0907,N_H_0908,N_H_0909,N_H_0910,N_H_0911,N_H_0912,N_H_0913,N_H_0914,N_H_0915,N_H_0916,N_H_0917,N_H_0918,N_H_0919,N_H_0920,N_H_0921,N_H_0922,N_H_0923,N_H_0924,N_H_0925,N_H_0926,N_H_0927,N_H_0928,N_H_0929,N_H_0930,N_H_1001,N_H_1002,N_H_1003,N_H_1004,N_H_1005,N_H_1006,N_H_1007,N_H_1008,N_H_1009,N_H_1010,T_H_0301,T_H_0302,T_H_0303,T_H_0304,T_H_0305,T_H_0306,T_H_0307,T_H_0308,T_H_0309,T_H_0310,T_H_0311,T_H_0312,T_H_0313,T_H_0314,T_H_0315,T_H_0316,T_H_0317,T_H_0318,T_H_0319,T_H_0320,T_H_0321,T_H_0322,T_H_0323,T_H_0324,T_H_0325,T_H_0326,T_H_0327,T_H_0328,T_H_0329,T_H_0330,T_H_0331,T_H_0401,T_H_0402,T_H_0403,T_H_0404,T_H_0405,T_H_0406,T_H_0407,T_H_0408,T_H_0409,T_H_0410,T_H_0411,T_H_0412,T_H_0413,T_H_0414,T_H_0415,T_H_0416,T_H_0417,T_H_0418,T_H_0419,T_H_0420,T_H_0421,T_H_0422,T_H_0423,T_H_0424,T_H_0425,T_H_0426,T_H_0427,T_H_0428,T_H_0429,T_H_0430,T_H_0501,T_H_0502,T_H_0503,T_H_0504,T_H_0505,T_H_0506,T_H_0507,T_H_0508,T_H_0509,T_H_0510,T_H_0511,T_H_0512,T_H_0513,T_H_0514,T_H_0515,T_H_0516,T_H_0517,T_H_0518,T_H_0519,T_H_0520,T_H_0521,T_H_0522,T_H_0523,T_H_0524,T_H_0525,T_H_0526,T_H_0527,T_H_0528,T_H_0529,T_H_0530,T_H_0531,T_H_0601,T_H_0602,T_H_0603,T_H_0604,T_H_0605,T_H_0606,T_H_0607,T_H_0608,T_H_0609,T_H_0610,T_H_0611,T_H_0612,T_H_0613,T_H_0614,T_H_0615,T_H_0616,T_H_0617,T_H_0618,T_H_0619,T_H_0620,T_H_0621,T_H_0622,T_H_0623,T_H_0624,T_H_0625,T_H_0626,T_H_0627,T_H_0628,T_H_0629,T_H_0630,T_H_0701,T_H_0702,T_H_0703,T_H_0704,T_H_0705,T_H_0706,T_H_0707,T_H_0708,T_H_0709,T_H_0710,T_H_0711,T_H_0712,T_H_0713,T_H_0714,T_H_0715,T_H_0716,T_H_0717,T_H_0718,T_H_0719,T_H_0720,T_H_0721,T_H_0722,T_H_0723,T_H_0724,T_H_0725,T_H_0726,T_H_0727,T_H_0728,T_H_0729,T_H_0730,T_H_0731,T_H_0801,T_H_0802,T_H_0803,T_H_0804,T_H_0805,T_H_0806,T_H_0807,T_H_0808,T_H_0809,T_H_0810,T_H_0811,T_H_0812,T_H_0813,T_H_0814,T_H_0815,T_H_0816,T_H_0817,T_H_0818,T_H_0819,T_H_0820,T_H_0821,T_H_0822,T_H_0823,T_H_0824,T_H_0825,T_H_0826,T_H_0827,T_H_0828,T_H_0829,T_H_0830,T_H_0831,T_H_0901,T_H_0902,T_H_0903,T_H_0904,T_H_0905,T_H_0906,T_H_0907,T_H_0908,T_H_0909,T_H_0910,T_H_0911,T_H_0912,T_H_0913,T_H_0914,T_H_0915,T_H_0916,T_H_0917,T_H_0918,T_H_0919,T_H_0920,T_H_0921,T_H_0922,T_H_0923,T_H_0924,T_H_0925,T_H_0926,T_H_0927,T_H_0928,T_H_0929,T_H_0930,T_H_1001,T_H_1002,T_H_1003,T_H_1004,T_H_1005,T_H_1006,T_H_1007,T_H_1008,T_H_1009,T_H_1010
0,2,11,北京市,Beijing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,1,1,0,2,1,2,1,1,3,1,0,6,8,4,2,2,4,7,9,4,5,5,4,7,4,8,6,0,1,3,1,2,4,2,0,0,0,11,2,4,5,0,4,2,1,1,2,3,3,2,3,3,2,1,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-175,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,6,7,7,8,9,9,11,12,14,15,16,19,20,20,26,34,38,40,42,46,53,62,66,71,76,80,87,91,99,105,105,106,109,110,112,116,118,118,118,118,129,131,135,140,140,144,146,147,148,150,153,156,158,161,164,166,167,167,168,169,170,170,170,170,170,170,172,172,172,172,172,172,172,172,172,172,172,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,0,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175
1,26,12,天津市,Tianjin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,4,0,7,1,0,2,4,3,0,3,4,3,0,2,0,1,0,2,2,0,1,3,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,8,0,0,0,1,0,0,0,0,1,-81,82,4,0,1,4,0,0,0,0,1,0,1,1,1,0,1,0,3,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,7,11,11,18,19,19,21,25,28,28,31,35,38,38,40,40,41,41,43,45,45,46,49,49,49,50,50,51,52,53,53,53,53,53,53,53,53,53,53,53,53,54,54,54,54,54,54,54,54,54,54,54,55,55,55,55,55,55,55,55,55,55,55,56,56,56,56,56,56,56,56,56,56,56,56,58,58,58,58,58,58,59,59,59,60,60,60,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,62,62,62,62,63,63,63,65,66,67,68,68,68,68,68,68,68,68,68,68,68,69,69,69,69,69,71,71,79,79,79,79,80,80,80,80,80,81,0,82,86,86,87,91,91,91,91,91,92,92,93,94,95,95,96,96,99,99,99,99,99,99,100,100,100,100,101,101,101,102,102
2,9,13,河北省,Hebei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,7,0,0,-21,22,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,14,14,21,21,21,0,22,22,22,22,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25
3,22,14,山西省,Shanxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,2,0,7,5,3,3,0,4,8,4,0,4,10,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67,67,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,7,7,9,9,16,21,24,27,27,31,39,43,43,47,57,60,61,62,63,63,63,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,66,66,66,66,66,66,66,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,0,67,67,68,68,68,68,68,68,68,68,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
4,18,15,内蒙古,Neimenggu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,8,3,0,9,1,0,0,4,0,0,0,6,7,8,16,1,4,2,2,0,2,4,6,4,1,3,9,3,1,2,0,4,2,0,0,0,0,2,0,0,0,2,3,1,0,0,1,0,1,2,0,3,1,0,0,5,8,4,0,1,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-183,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,9,9,17,20,20,29,30,30,30,34,34,34,34,40,47,55,71,72,76,78,80,80,82,86,92,96,97,100,109,112,113,115,115,119,121,121,121,121,121,123,123,123,123,125,128,129,129,129,130,130,131,133,133,136,137,137,137,142,150,154,154,155,155,155,155,158,158,158,158,158,159,159,160,160,160,160,160,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,164,165,165,165,168,168,168,168,168,168,168,168,168,168,171,171,171,171,171,177,177,178,178,179,180,180,180,180,180,180,180,181,181,181,181,181,181,181,181,181,181,181,182,183,183,183,183,183,0,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,184,184,184,185,185,185,185,185,185,185
5,17,21,辽宁省,Liaoning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,1,1,0,1,3,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-37,38,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,6,9,10,11,11,12,15,17,17,17,19,19,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,24,24,25,27,28,29,29,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,34,34,34,34,34,34,34,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,37,0,38,38,38,39,39,39,40,40,40,40,40,40,40,40,40,41,41,41,41,41,41,41,41,42,44,44,44,44,44,46,47,47
6,14,22,吉林省,Jilin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,4,4,4,4,4,5,5,5,5,6,6,7,7,7,7,7,7,7,7,10,10,11,11,11,11,11,13,13,13,13,13,16,16,16,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
7,11,23,黑龙江省,Heilongjiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,-1,3,11,1,-2,24,13,34,30,0,0,18,-1,3,37,88,25,11,12,0,46,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-387,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,3,2,5,16,17,15,39,52,86,116,116,116,134,133,136,173,261,286,297,309,309,355,368,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,387,387,387,387,387,387,387,387,0,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387
8,24,31,上海市,Shanghai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,3,0,0,4,3,2,0,5,8,27,5,17,11,5,13,3,8,12,10,15,4,22,4,5,9,0,2,1,14,11,10,13,3,13,2,13,0,2,4,1,0,3,0,3,0,1,4,2,5,2,1,0,0,1,3,1,1,0,1,4,1,1,0,2,0,0,2,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,2,2,1,0,0,-341,0,344,-344,0,0,0,354,1,-355,0,0,0,1,0,1,3,5,2,5,1,1,2,1,0,4,1,1,1,0,1,2,3,0,2,0,0,1,0,2,1,0,6,0,2,1,5,4,3,2,15,8,6,3,10,3,0,8,12,7,3,6,5,2,7,5,6,6,3,3,-537,542,6,4,3,7,3,4,5,0,1,6,3,4,0,3,2,4,2,2,3,3,5,3,3,2,2,1,2,6,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,4,7,7,7,11,14,16,16,21,29,56,61,78,89,94,107,110,118,130,140,155,159,181,185,190,199,199,201,202,216,227,237,250,253,266,268,281,281,283,287,288,288,291,291,294,294,295,299,301,306,308,309,309,309,310,313,314,315,315,316,320,321,322,322,324,324,324,326,327,327,328,329,330,330,330,331,331,332,332,332,333,333,333,334,334,334,334,334,335,335,336,338,340,341,341,341,0,0,344,0,0,0,0,354,355,0,0,0,0,356,356,357,360,365,367,372,373,374,376,377,377,381,382,383,384,384,385,387,390,390,392,392,392,393,393,395,396,396,402,402,404,405,410,414,417,419,434,442,448,451,461,464,464,472,484,491,494,500,505,507,514,519,525,531,534,537,0,542,548,552,555,562,565,569,574,574,575,581,584,588,588,591,593,597,599,601,604,607,612,615,618,620,622,623,625,631,636,641,645
9,15,32,江苏省,Jiangsu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,2,0,3,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,-30,30,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,5,7,7,10,11,11,12,12,12,12,13,14,14,15,15,15,15,15,16,17,19,19,19,19,19,19,20,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,25,24,24,24,24,24,24,24,25,25,25,25,25,25,25,26,26,26,26,26,27,28,28,28,30,30,30,0,30,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
