OBJECTID,SubSymbol,Period,Years_before,Period_c,Main_Rock_Type,Photo_Ref_no,Main_Rock_Type_c,Years_before_c,Photo1,Photo2,Photo3,Photo1_link,Photo2_link,Photo3_link
1,EP,Tertiary,1.8-65,第三系,Dolomitic siltstone with chert,20,白雲質粉砂岩夾燧石層,1.8-65,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Cherty Siltstone.png,,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Cherty Siltstone.png,,
2,KG,Cretaceous,65-145,白堊系,Granitic Rocks,15&16,花崗岩類的岩石,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Equigranular Medium-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Equigranular Medium-grained Granite.png,
3,KG,Cretaceous,65-145,白堊系,Granitic Rocks,15&16,花崗岩類的岩石,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Equigranular Medium-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Equigranular Medium-grained Granite.png,
4,KG,Cretaceous,65-145,白堊系,Granitic Rocks,15&16,花崗岩類的岩石,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Equigranular Medium-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Equigranular Medium-grained Granite.png,
5,KG,Cretaceous,65-145,白堊系,Granitic Rocks,15&16,花崗岩類的岩石,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Equigranular Medium-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Equigranular Medium-grained Granite.png,
6,KG,Cretaceous,65-145,白堊系,Granitic Rocks,15&16,花崗岩類的岩石,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Equigranular Medium-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Equigranular Medium-grained Granite.png,
7,KG,Cretaceous,65-145,白堊系,Granitic Rocks,15&16,,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Equigranular Medium-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Equigranular Medium-grained Granite.png,
8,KG,Cretaceous,65-145,白堊系,Granitic Rocks,15&16,花崗岩類的岩石,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Equigranular Medium-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Equigranular Medium-grained Granite.png,
9,KG,Cretaceous,65-145,白堊系,Granitic Rocks,15&16,花崗岩類的岩石,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Equigranular Medium-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Equigranular Medium-grained Granite.png,
11,KG,Cretaceous,65-145,白堊系,Granitic Rocks,15&16,花崗岩類的岩石,65-145,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/Equigranular Medium-grained Granite.png,,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Porphyritic Quartz Monzonite.png,http://www.geomap.cedd.gov.hk/GeologicalMapESRI/images/original/Equigranular Medium-grained Granite.png,
